Date,Close
2024-10-01,4.8
2024-09-01,5.03
2024-08-01,5.0
2024-07-01,5.98
2024-06-01,5.1
2024-05-01,4.87
2024-04-01,5.05
2024-03-01,5.36
2024-02-01,5.62
2024-01-01,5.46
