Date,Precio Cierre,Capitalización (Millones USD)
2024-10-01,4.8,2978.064
2024-09-01,5.03,3120.7629
2024-08-01,5.0,3102.15
2024-07-01,5.98,3710.1714000000006
2024-06-01,5.1,3164.193
2024-05-01,4.87,3021.4941
2024-04-01,5.05,3133.1715
2024-03-01,5.36,3325.5048
2024-02-01,5.62,3486.8166
2024-01-01,5.46,3387.5478
