Date,Precio Cierre,Capitalización (Millones USD)
2024-10-01,17.03,998.2986000000001
2024-09-01,14.14,828.8868
2024-08-01,14.56,853.5072
2024-07-01,12.76,747.9912
2024-06-01,13.58,796.0596
2024-05-01,16.97,994.7813999999998
2024-04-01,17.82,1044.6084
2024-03-01,20.57,1205.8134
2024-02-01,10.79,632.5098
2024-01-01,10.16,595.5792
